DEBUG: args.model_name = 'bert-base-multilingual-cased'
DEBUG: is None? False
DEBUG: type = <class 'str'>
{'loss': 0.0109, 'learning_rate': 7.584650112866818e-06, 'epoch': 2.48}
{'loss': 0.0147, 'learning_rate': 7.443566591422122e-06, 'epoch': 2.51}
{'loss': 0.0083, 'learning_rate': 7.302483069977427e-06, 'epoch': 2.54}
{'loss': 0.0048, 'learning_rate': 7.1613995485327314e-06, 'epoch': 2.57}
{'loss': 0.0068, 'learning_rate': 7.0203160270880365e-06, 'epoch': 2.6}
{'loss': 0.0042, 'learning_rate': 6.879232505643342e-06, 'epoch': 2.62}
{'loss': 0.0084, 'learning_rate': 6.738148984198646e-06, 'epoch': 2.65}
{'loss': 0.0037, 'learning_rate': 6.597065462753951e-06, 'epoch': 2.68}
{'loss': 0.0082, 'learning_rate': 6.455981941309256e-06, 'epoch': 2.71}
{'loss': 0.0045, 'learning_rate': 6.31489841986456e-06, 'epoch': 2.74}
{'loss': 0.0041, 'learning_rate': 6.1738148984198655e-06, 'epoch': 2.77}
{'loss': 0.0029, 'learning_rate': 6.03273137697517e-06, 'epoch': 2.79}
{'loss': 0.0069, 'learning_rate': 5.891647855530475e-06, 'epoch': 2.82}
{'loss': 0.0096, 'learning_rate': 5.75056433408578e-06, 'epoch': 2.85}
{'loss': 0.0041, 'learning_rate': 5.609480812641084e-06, 'epoch': 2.88}
{'loss': 0.0068, 'learning_rate': 5.468397291196389e-06, 'epoch': 2.91}
{'loss': 0.0039, 'learning_rate': 5.327313769751693e-06, 'epoch': 2.93}
{'loss': 0.0043, 'learning_rate': 5.186230248306998e-06, 'epoch': 2.96}
{'loss': 0.0045, 'learning_rate': 5.045146726862303e-06, 'epoch': 2.99}
{'eval_loss': 0.07784520089626312, 'eval_precision': 0.8369565217391305, 'eval_recall': 0.8126649076517151, 'eval_f1': 0.8246318607764391, 'eval_runtime': 1.6006, 'eval_samples_per_second': 352.367, 'eval_steps_per_second': 22.492, 'epoch': 3.0}
{'loss': 0.0055, 'learning_rate': 4.904063205417607e-06, 'epoch': 3.02}
{'loss': 0.0033, 'learning_rate': 4.762979683972912e-06, 'epoch': 3.05}
{'loss': 0.0059, 'learning_rate': 4.621896162528217e-06, 'epoch': 3.08}
{'loss': 0.002, 'learning_rate': 4.480812641083522e-06, 'epoch': 3.1}
{'loss': 0.0032, 'learning_rate': 4.339729119638827e-06, 'epoch': 3.13}
{'loss': 0.0019, 'learning_rate': 4.198645598194132e-06, 'epoch': 3.16}
{'loss': 0.0008, 'learning_rate': 4.057562076749436e-06, 'epoch': 3.19}
{'loss': 0.004, 'learning_rate': 3.91647855530474e-06, 'epoch': 3.22}
{'loss': 0.0028, 'learning_rate': 3.7753950338600455e-06, 'epoch': 3.24}
{'loss': 0.0027, 'learning_rate': 3.63431151241535e-06, 'epoch': 3.27}
{'loss': 0.0003, 'learning_rate': 3.4932279909706552e-06, 'epoch': 3.3}
{'loss': 0.002, 'learning_rate': 3.35214446952596e-06, 'epoch': 3.33}
{'loss': 0.0051, 'learning_rate': 3.211060948081264e-06, 'epoch': 3.36}
{'loss': 0.0019, 'learning_rate': 3.069977426636569e-06, 'epoch': 3.39}
{'loss': 0.0014, 'learning_rate': 2.9288939051918736e-06, 'epoch': 3.41}
{'loss': 0.0057, 'learning_rate': 2.7878103837471787e-06, 'epoch': 3.44}
{'loss': 0.0052, 'learning_rate': 2.6467268623024833e-06, 'epoch': 3.47}
{'loss': 0.002, 'learning_rate': 2.505643340857788e-06, 'epoch': 3.5}
{'loss': 0.0017, 'learning_rate': 2.3645598194130927e-06, 'epoch': 3.53}
{'loss': 0.0027, 'learning_rate': 2.2234762979683974e-06, 'epoch': 3.56}
{'loss': 0.0026, 'learning_rate': 2.0823927765237025e-06, 'epoch': 3.58}
{'loss': 0.0021, 'learning_rate': 1.9413092550790067e-06, 'epoch': 3.61}
{'loss': 0.006, 'learning_rate': 1.8002257336343114e-06, 'epoch': 3.64}
{'loss': 0.003, 'learning_rate': 1.6591422121896163e-06, 'epoch': 3.67}
{'loss': 0.0004, 'learning_rate': 1.518058690744921e-06, 'epoch': 3.7}
{'loss': 0.0022, 'learning_rate': 1.3769751693002259e-06, 'epoch': 3.72}
{'loss': 0.0034, 'learning_rate': 1.2358916478555306e-06, 'epoch': 3.75}
{'loss': 0.0024, 'learning_rate': 1.0948081264108353e-06, 'epoch': 3.78}
{'loss': 0.0022, 'learning_rate': 9.5372460496614e-07, 'epoch': 3.81}
{'loss': 0.0041, 'learning_rate': 8.126410835214447e-07, 'epoch': 3.84}
{'loss': 0.0024, 'learning_rate': 6.715575620767495e-07, 'epoch': 3.87}
{'loss': 0.0012, 'learning_rate': 5.304740406320542e-07, 'epoch': 3.89}
{'loss': 0.0006, 'learning_rate': 3.893905191873589e-07, 'epoch': 3.92}
{'loss': 0.0016, 'learning_rate': 2.4830699774266366e-07, 'epoch': 3.95}
{'loss': 0.002, 'learning_rate': 1.072234762979684e-07, 'epoch': 3.98}
{'eval_loss': 0.08309023827314377, 'eval_precision': 0.8512396694214877, 'eval_recall': 0.8153034300791556, 'eval_f1': 0.8328840970350405, 'eval_runtime': 1.6041, 'eval_samples_per_second': 351.596, 'eval_steps_per_second': 22.442, 'epoch': 4.0}
{'train_runtime': 861.3251, 'train_samples_per_second': 65.824, 'train_steps_per_second': 8.229, 'train_loss': 0.01641102400558431, 'epoch': 4.0}
Training complete.
Best checkpoint: outputs/norwegian_to_danish_mbert_zero_shot_1seed/checkpoint-7088
Dev metrics written to: outputs/norwegian_to_danish_mbert_zero_shot_1seed/dev_metrics.json
Dev predictions written to: outputs/norwegian_to_danish_mbert_zero_shot_1seed/dev_predictions.iob2
Test predictions written to: outputs/norwegian_to_danish_mbert_zero_shot_1seed/test_predictions.iob2
Evaluate dev file with: python span_f1.py /home/onok/NLP-Project/Datasets/Danish/da_ddt-ud-dev.iob2 <dev_predictions.iob2>
