{'loss': 0.0059, 'learning_rate': 3.57780612244898e-06, 'epoch': 3.28}
{'loss': 0.0068, 'learning_rate': 3.4183673469387756e-06, 'epoch': 3.32}
{'loss': 0.004, 'learning_rate': 3.258928571428572e-06, 'epoch': 3.35}
{'loss': 0.0061, 'learning_rate': 3.099489795918368e-06, 'epoch': 3.38}
{'loss': 0.0056, 'learning_rate': 2.9400510204081634e-06, 'epoch': 3.41}
{'loss': 0.0023, 'learning_rate': 2.7806122448979596e-06, 'epoch': 3.44}
{'loss': 0.0052, 'learning_rate': 2.6211734693877554e-06, 'epoch': 3.48}
{'loss': 0.016, 'learning_rate': 2.461734693877551e-06, 'epoch': 3.51}
{'loss': 0.0068, 'learning_rate': 2.302295918367347e-06, 'epoch': 3.54}
{'loss': 0.0054, 'learning_rate': 2.1428571428571427e-06, 'epoch': 3.57}
{'loss': 0.0032, 'learning_rate': 1.983418367346939e-06, 'epoch': 3.6}
{'loss': 0.0082, 'learning_rate': 1.8239795918367347e-06, 'epoch': 3.64}
{'loss': 0.004, 'learning_rate': 1.664540816326531e-06, 'epoch': 3.67}
{'loss': 0.0038, 'learning_rate': 1.5051020408163267e-06, 'epoch': 3.7}
{'loss': 0.008, 'learning_rate': 1.3456632653061225e-06, 'epoch': 3.73}
{'loss': 0.0055, 'learning_rate': 1.1862244897959185e-06, 'epoch': 3.76}
{'loss': 0.0021, 'learning_rate': 1.0267857142857143e-06, 'epoch': 3.79}
{'loss': 0.0109, 'learning_rate': 8.673469387755103e-07, 'epoch': 3.83}
{'loss': 0.0032, 'learning_rate': 7.079081632653062e-07, 'epoch': 3.86}
{'loss': 0.0047, 'learning_rate': 5.484693877551021e-07, 'epoch': 3.89}
{'loss': 0.0028, 'learning_rate': 3.89030612244898e-07, 'epoch': 3.92}
{'loss': 0.006, 'learning_rate': 2.295918367346939e-07, 'epoch': 3.95}
{'loss': 0.0044, 'learning_rate': 7.01530612244898e-08, 'epoch': 3.99}
{'eval_loss': 0.09041844308376312, 'eval_precision': 0.7838676318510859, 'eval_recall': 0.7846790890269151, 'eval_f1': 0.7842731505431971, 'eval_runtime': 2.6637, 'eval_samples_per_second': 751.209, 'eval_steps_per_second': 47.303, 'epoch': 4.0}
{'train_runtime': 596.76, 'train_samples_per_second': 84.074, 'train_steps_per_second': 10.51, 'train_loss': 0.025386502538042675, 'epoch': 4.0}
Training complete.
Best checkpoint: /home/onok/NLP-Project/outputs/english_to_danish_zero_shot/checkpoint-3136
Dev metrics written to: /home/onok/NLP-Project/outputs/english_to_danish_zero_shot/dev_metrics.json
Dev predictions written to: /home/onok/NLP-Project/outputs/english_to_danish_zero_shot/dev_predictions.iob2
Test predictions written to: /home/onok/NLP-Project/outputs/english_to_danish_zero_shot/test_predictions.iob2
Evaluate dev file with: python span_f1.py /home/onok/NLP-Project/Datasets/English/en_ewt-ud-dev.iob2 <dev_predictions.iob2>
